qid,WChoice,NumMachine,NumForEach,k,LevelRs,Pivots,RepeatTime,MatCost,NaiveCost,Cost,QCost,EstResSite
959591,2_heur/,500,500,1,269_131_105_71_32_20_10_6_1,42_84_126_168_210_252_294_336_378_420,0,87990,210501,53625,48048,NULL
535883,2_heur/,500,500,1,500_500_500_479_356_189_71_13_1,42_84_126_168_210_252_294_336_378_420,1,87990,210501,143969,130536,NULL
550234,2_heur/,500,500,1,500_500_500_446_298_91_28_4_1,42_84_126_168_210_252_294_336_378_420,2,87990,210501,132883,120414,NULL
472088,2_heur/,500,500,1,500_500_499_480_370_178_55_14_4_1,42_84_126_168_210_252_294_336_378_420,3,87990,210501,143601,130200,NULL
187914,2_heur/,500,500,1,500_497_470_369_218_121_53_11_4_1,42_84_126_168_210_252_294_336_378_420,4,87990,210501,127179,115206,NULL
37322,2_heur/,500,500,1,500_500_500_492_419_296_70_7_1,42_84_126_168_210_252_294_336_378_420,5,87990,210501,152065,137928,NULL
395402,2_heur/,500,500,1,500_494_453_324_185_65_23_10_2_1,42_84_126_168_210_252_294_336_378_420,6,87990,210501,118577,107352,NULL
500767,2_heur/,500,500,1,500_500_500_500_500_262_65_12_4_1,42_84_126_168_210_252_294_336_378_420,7,87990,210501,154779,140406,NULL
770647,2_heur/,500,500,1,500_405_274_117_39_17_5_1,42_84_126_168_210_252_294_336_378_420,8,87990,210501,86423,77994,NULL
337587,2_heur/,500,500,1,500_484_429_299_193_80_32_15_5_1,42_84_126_168_210_252_294_336_378_420,9,87990,210501,117703,106554,NULL
964270,2_heur/,500,500,1,369_210_153_91_46_16_6_1,42_84_126_168_210_252_294_336_378_420,10,87990,210501,64987,58422,NULL
112154,2_heur/,500,500,1,500_500_500_489_307_87_35_11_4_1,42_84_126_168_210_252_294_336_378_420,11,87990,210501,135919,123186,NULL
653421,2_heur/,500,500,1,500_500_500_483_391_214_71_17_5_1,42_84_126_168_210_252_294_336_378_420,12,87990,210501,147327,133602,NULL
28519,2_heur/,500,500,1,500_500_500_497_477_361_194_53_6_1,42_84_126_168_210_252_294_336_378_420,13,87990,210501,166049,150696,NULL
218449,2_heur/,500,500,1,500_500_500_500_491_319_100_19_3_1,42_84_126_168_210_252_294_336_378_420,14,87990,210501,158873,144144,NULL
126901,2_heur/,500,500,1,500_500_500_499_474_293_98_23_9_1,42_84_126_168_210_252_294_336_378_420,15,87990,210501,157217,142632,NULL
972396,2_heur/,500,500,1,500_500_500_490_429_277_139_47_6_1,42_84_126_168_210_252_294_336_378_420,16,87990,210501,156849,142296,NULL
675023,2_heur/,500,500,1,500_500_500_494_413_147_39_11_4_1,42_84_126_168_210_252_294_336_378_420,17,87990,210501,143969,130536,NULL
550782,2_heur/,500,500,1,111_38_25_20_14_8_5_4_2_1,42_84_126_168_210_252_294_336_378_420,18,87990,210501,34443,30534,NULL
857430,2_heur/,500,500,1,500_500_500_476_384_144_36_5_2_1,42_84_126_168_210_252_294_336_378_420,19,87990,210501,141163,127974,NULL
946865,2_heur/,500,500,1,500_489_462_376_202_123_46_13_3_1,42_84_126_168_210_252_294_336_378_420,20,87990,210501,125845,113988,NULL
375012,2_heur/,500,500,1,500_500_500_495_433_201_76_18_1,42_84_126_168_210_252_294_336_378_420,21,87990,210501,149259,135366,NULL
856800,2_heur/,500,500,1,500_500_500_494_441_306_163_47_10_1,42_84_126_168_210_252_294_336_378_420,22,87990,210501,160207,145362,NULL
288335,2_heur/,500,500,1,500_500_499_492_452_355_206_83_13_1,42_84_126_168_210_252_294_336_378_420,23,87990,210501,166601,151200,NULL
699847,2_heur/,500,500,1,500_500_500_494_348_137_50_13_6_1,42_84_126_168_210_252_294_336_378_420,24,87990,210501,141209,128016,NULL
823503,2_heur/,500,500,1,500_500_500_497_412_234_56_18_3_1,42_84_126_168_210_252_294_336_378_420,25,87990,210501,149121,135240,NULL
375536,2_heur/,500,500,1,500_447_374_285_174_94_40_16_3_1,42_84_126_168_210_252_294_336_378_420,26,87990,210501,112919,102186,NULL
652238,2_heur/,500,500,1,500_498_479_434_323_147_49_14_4_1,42_84_126_168_210_252_294_336_378_420,27,87990,210501,136609,123816,NULL
725483,2_heur/,500,500,1,500_496_462_392_277_124_48_14_7_1,42_84_126_168_210_252_294_336_378_420,28,87990,210501,130721,118440,NULL
87870,2_heur/,500,500,1,500_494_455_309_138_23_4_2_1,42_84_126_168_210_252_294_336_378_420,29,87990,210501,112551,101850,NULL
757348,2_heur/,500,500,1,500_492_451_392_272_141_66_21_5_1,42_84_126_168_210_252_294_336_378_420,30,87990,210501,131641,119280,NULL
194751,2_heur/,500,500,1,497_418_345_256_156_91_46_22_9_1,42_84_126_168_210_252_294_336_378_420,31,87990,210501,108641,98280,NULL
288125,2_heur/,500,500,1,395_263_185_116_72_32_14_6_2_1,42_84_126_168_210_252_294_336_378_420,32,87990,210501,73911,66570,NULL
239807,2_heur/,500,500,1,500_468_425_341_261_112_59_28_9_1,42_84_126_168_210_252_294_336_378_420,33,87990,210501,125339,113526,NULL
282879,2_heur/,500,500,1,500_490_461_345_181_59_22_16_2_1,42_84_126_168_210_252_294_336_378_420,34,87990,210501,119497,108192,NULL
937959,2_heur/,500,500,1,500_500_500_493_413_212_76_15_3_1,42_84_126_168_210_252_294_336_378_420,35,87990,210501,148753,134904,NULL
430860,2_heur/,500,500,1,500_500_500_500_489_335_144_41_6_1,42_84_126_168_210_252_294_336_378_420,36,87990,210501,162691,147630,NULL
851636,2_heur/,500,500,1,500_499_493_459_352_159_63_15_2_1,42_84_126_168_210_252_294_336_378_420,37,87990,210501,140933,127764,NULL
135967,2_heur/,500,500,1,174_174_174_174_174_169_137_135_135_135,42_84_126_168_210_252_294_336_378_420,38,87990,210501,90673,81732,NULL
246596,2_heur/,500,500,1,500_500_492_423_263_93_19_5_2_1,42_84_126_168_210_252_294_336_378_420,39,87990,210501,129663,117474,NULL
11548,2_heur/,500,500,1,500_500_500_500_464_263_74_21_1,42_84_126_168_210_252_294_336_378_420,40,87990,210501,153813,139524,NULL
470447,2_heur/,500,500,1,500_500_500_500_499_469_300_73_5_1,42_84_126_168_210_252_294_336_378_420,41,87990,210501,177917,161532,NULL
944901,2_heur/,500,500,1,500_500_500_500_443_251_101_30_7_1,42_84_126_168_210_252_294_336_378_420,42,87990,210501,154273,139944,NULL
517046,2_heur/,500,500,1,500_486_421_328_194_70_18_7_2_1,42_84_126_168_210_252_294_336_378_420,43,87990,210501,117197,106092,NULL
715179,2_heur/,500,500,1,137_61_37_23_13_7_6_1,42_84_126_168_210_252_294_336_378_420,44,87990,210501,37065,32928,NULL
162587,2_heur/,500,500,1,500_500_500_479_377_175_66_15_5_1,42_84_126_168_210_252_294_336_378_420,45,87990,210501,144383,130914,NULL
59239,2_heur/,500,500,1,500_445_342_216_79_29_11_3_1,42_84_126_168_210_252_294_336_378_420,46,87990,210501,98751,89250,NULL
