qid,WChoice,NumMachine,NumForEach,k,LevelRs,Pivots,RepeatTime,MatCost,NaiveCost,Cost,QCost,EstResSite
959591,2_heur/,1000,500,1,544_250_192_129_63_34_16_8_2_1,42_84_126_168_210_252_294_336_378_420,0,87990,421001,104949,93996,NULL
535883,2_heur/,1000,500,1,1000_1000_999_953_696_356_120_21_6_1,42_84_126_168_210_252_294_336_378_420,1,87990,421001,284947,258342,NULL
550234,2_heur/,1000,500,1,1000_963_761_368_114_39_6_2_1,42_84_126_168_210_252_294_336_378_420,2,87990,421001,197639,178626,NULL
472088,2_heur/,1000,500,1,1000_1000_998_966_747_368_122_34_9_1,42_84_126_168_210_252_294_336_378_420,3,87990,421001,289225,262248,NULL
187914,2_heur/,1000,500,1,1000_970_828_603_330_162_65_23_5_1,42_84_126_168_210_252_294_336_378_420,4,87990,421001,231357,209412,NULL
37322,2_heur/,1000,500,1,1000_1000_1000_981_806_468_150_14_2_1,42_84_126_168_210_252_294_336_378_420,5,87990,421001,297367,269682,NULL
395402,2_heur/,1000,500,1,1000_988_889_652_346_123_50_12_2_1,42_84_126_168_210_252_294_336_378_420,6,87990,421001,234853,212604,NULL
500767,2_heur/,1000,500,1,1000_1000_1000_1000_999_514_123_22_6_1,42_84_126_168_210_252_294_336_378_420,7,87990,421001,308545,279888,NULL
770647,2_heur/,1000,500,1,1000_400_150_54_15_7_2_2_1,42_84_126_168_210_252_294_336_378_420,8,87990,421001,122981,110460,NULL
337587,2_heur/,1000,500,1,1000_964_831_504_256_97_47_11_5_1,42_84_126_168_210_252_294_336_378_420,9,87990,421001,218891,198030,NULL
964270,2_heur/,1000,500,1,732_408_301_185_87_32_9_1,42_84_126_168_210_252_294_336_378_420,10,87990,421001,128685,115668,NULL
112154,2_heur/,1000,500,1,1000_1000_1000_979_623_175_62_23_7_1,42_84_126_168_210_252_294_336_378_420,11,87990,421001,271975,246498,NULL
653421,2_heur/,1000,500,1,1000_1000_1000_966_730_374_114_32_7_1,42_84_126_168_210_252_294_336_378_420,12,87990,421001,288259,261366,NULL
28519,2_heur/,1000,500,1,1000_1000_999_994_952_734_398_102_12_1,42_84_126_168_210_252_294_336_378_420,13,87990,421001,332787,302022,NULL
218449,2_heur/,1000,500,1,1000_1000_1000_1000_975_614_181_37_3_1,42_84_126_168_210_252_294_336_378_420,14,87990,421001,315261,286020,NULL
126901,2_heur/,1000,500,1,1000_1000_1000_998_953_595_185_55_13_1,42_84_126_168_210_252_294_336_378_420,15,87990,421001,314755,285558,NULL
972396,2_heur/,1000,500,1,1000_1000_995_954_720_415_165_47_6_1,42_84_126_168_210_252_294_336_378_420,16,87990,421001,291893,264684,NULL
675023,2_heur/,1000,500,1,1000_1000_1000_992_837_314_83_25_7_1,42_84_126_168_210_252_294_336_378_420,17,87990,421001,289869,262836,NULL
550782,2_heur/,1000,500,1,151_49_34_24_17_6_3_1,42_84_126_168_210_252_294_336_378_420,18,87990,421001,61065,53928,NULL
857430,2_heur/,1000,500,1,1000_1000_962_681_238_68_14_4_2_1,42_84_126_168_210_252_294_336_378_420,19,87990,421001,230575,208698,NULL
946865,2_heur/,1000,500,1,1000_978_922_753_417_171_62_14_5_1,42_84_126_168_210_252_294_336_378_420,20,87990,421001,246813,223524,NULL
375012,2_heur/,1000,500,1,1000_1000_1000_989_862_369_136_35_3_1,42_84_126_168_210_252_294_336_378_420,21,87990,421001,296125,268548,NULL
856800,2_heur/,1000,500,1,1000_1000_999_967_746_311_104_25_8_1,42_84_126_168_210_252_294_336_378_420,22,87990,421001,285361,258720,NULL
288335,2_heur/,1000,500,1,1000_1000_999_985_878_621_350_81_10_1,42_84_126_168_210_252_294_336_378_420,23,87990,421001,320505,290808,NULL
699847,2_heur/,1000,500,1,1000_1000_997_962_720_324_113_31_9_1,42_84_126_168_210_252_294_336_378_420,24,87990,421001,285177,258552,NULL
823503,2_heur/,1000,500,1,1000_1000_1000_965_726_380_107_18_2_1,42_84_126_168_210_252_294_336_378_420,25,87990,421001,287109,260316,NULL
375536,2_heur/,1000,500,1,998_858_722_551_346_154_68_28_3_1,42_84_126_168_210_252_294_336_378_420,26,87990,421001,219489,198576,NULL
652238,2_heur/,1000,500,1,1000_995_963_882_653_291_99_32_6_1,42_84_126_168_210_252_294_336_378_420,27,87990,421001,274367,248682,NULL
725483,2_heur/,1000,500,1,1000_987_927_791_566_261_94_26_10_1,42_84_126_168_210_252_294_336_378_420,28,87990,421001,262453,237804,NULL
87870,2_heur/,1000,500,1,1000_980_905_605_290_50_11_2_2_1,42_84_126_168_210_252_294_336_378_420,29,87990,421001,224871,203490,NULL
757348,2_heur/,1000,500,1,1000_987_907_765_535_269_119_37_8_1,42_84_126_168_210_252_294_336_378_420,30,87990,421001,260843,236334,NULL
194751,2_heur/,1000,500,1,987_838_687_515_313_166_77_29_7_1,42_84_126_168_210_252_294_336_378_420,31,87990,421001,214475,193998,NULL
288125,2_heur/,1000,500,1,791_538_380_230_143_64_27_9_3_1,42_84_126_168_210_252_294_336_378_420,32,87990,421001,148511,133770,NULL
239807,2_heur/,1000,500,1,998_942_851_691_516_238_116_52_14_1,42_84_126_168_210_252_294_336_378_420,33,87990,421001,251229,227556,NULL
282879,2_heur/,1000,500,1,1000_978_916_667_340_102_34_23_3_1,42_84_126_168_210_252_294_336_378_420,34,87990,421001,234899,212646,NULL
937959,2_heur/,1000,500,1,1000_1000_999_960_720_349_120_22_3_1,42_84_126_168_210_252_294_336_378_420,35,87990,421001,285959,259266,NULL
430860,2_heur/,1000,500,1,1000_1000_1000_993_834_320_136_39_6_1,42_84_126_168_210_252_294_336_378_420,36,87990,421001,293089,265776,NULL
851636,2_heur/,1000,500,1,1000_999_988_914_714_316_115_26_2_1,42_84_126_168_210_252_294_336_378_420,37,87990,421001,281405,255108,NULL
135967,2_heur/,1000,500,1,350_350_350_350_350_343_270_263_263_263,42_84_126_168_210_252_294_336_378_420,38,87990,421001,181200,163338,NULL
246596,2_heur/,1000,500,1,1000_998_956_732_348_123_38_14_4_1,42_84_126_168_210_252_294_336_378_420,39,87990,421001,241799,218946,NULL
11548,2_heur/,1000,500,1,1000_1000_1000_1000_925_516_154_40_5_1,42_84_126_168_210_252_294_336_378_420,40,87990,421001,307441,278880,NULL
